Pais,Nombre,Latitud,Longitud
Bolivia,Paso Internacional La Quiaca-Villazon,-22.0548,-65.3547
Bolivia,Paso Internacional El Condado-La Mamora,-22.1124,-64.3911
Bolivia,Paso Internacional Aguas Blancas-Bermejo,-22.4335,-64.2212
Bolivia,Paso Internacional Salvador Mazza-Yacuiba,-22.0312,-63.4101
Brasil,Paso Internacional Iguazu - Foz de Iguazu,-25.3518,-54.3342
Brasil,Paso Internacional Andresito-Capanema,-25.3707,-53.5812
Brasil,Paso Internacional Integracion - Planalto,-25.4608,-53.5104
Brasil,Paso Internacional San Antonio - Santo Antonio,-26.0324,-53.4350
Brasil,Paso Internacional Bernardo de Irigoyen-Dionisio Cerqueira,-26.1517,-53.3838
Brasil,Paso Internacional Pepiri Guazu - Sao Miguel,-26.3647,-53.4405
Brasil,Paso Internacional El Soberbio - Porto Soberbo,-27.1800,-54.1130
Brasil,Paso Internacional Alicia - San Antonio,-27.2800,-54.2043
Brasil,Paso Internacional Aurora - Pratos,-27.2957,-54.3114
Brasil,Paso Internacional Alba Posse-Porto Maua,-27.3417,-54.4045
Brasil,Paso Internacional Puerto Barra Bonita-M. Bigua,-27.3535,-54.5031
Brasil,Paso Internacional Panambi-Porto Veracruz,-27.4349,-54.5451
Brasil,"Paso Internacional ""Paso de la Barca""",-27.5331,-55.0808
Brasil,Paso Internacional Santo Tome - Sao Borja,-28.3638,-56.0052
Brasil,Paso Internacional Alvear-Itaqui,-29.0648,-56.3319
Brasil,Paso Internacional Paso de Los Libres - Uruguayana,-29.4300,-57.0500
Chile,Paso Internacional Jama,-23.1415,-67.0435
Chile,Paso Internacional Sico,-23.5000,-67.1500
Chile,Paso Internacional Socompa,-24.2711,-68.1724
Chile,Paso Internacional San Francisco,-26.5235,-68.1805
Chile,Paso Internacional Pircas Negras,-28.0400,-69.1800
Chile,Paso Internacional Agua Negra,-30.1132,-69.4906
Chile,Paso Internacional Cristo Redentor,-32.4938,-70.0532
Chile,Paso Internacional Portillo de Piuquenes,-33.3800,-69.5200
Chile,Paso Internacional Cajon Del Maipo,-34.1417,-69.4813
Chile,Paso Internacional Vergara,-35.1221,-70.3114
Chile,Paso Internacional Pehuenche,-35.5800,-70.2300
Chile,Paso Internacional Pichachen,-37.2716,-71.0810
Chile,Paso Internacional Copahue,-39.4932,-71.0756
Chile,Paso Internacional Pino Hachado,-38.3900,-70.5300
Chile,Paso Internacional Icalma,-38.5000,-71.1600
Chile,Paso Internacional Mamuil Malal,-39.3443,-71.2916
Chile,Paso Internacional Hua Hum,-40.0619,-71.4011
Chile,Paso Internacional Cardenal Antonio Samore,-40.4247,-71.5638
Chile,Paso Internacional Vicente Perez Rosales,-41.0400,-71.4900
Chile,Paso Internacional Vuriloche,-41.1300,-71.5100
Chile,Paso Internacional Rio Manso,-41.3100,-71.5100
Chile,Paso Internacional Rio Puelo,-42.0627,-71.4339
Chile,Paso Internacional Rio Futaleufu,-43.1028,-71.4456
Chile,Paso Internacional Rio Encuentro (Chubut).,-45.1438,-71.2058
Chile,Paso Internacional Las Pampas (Chubut).,-44.1500,-71.4800
Chile,Paso Internacional Rio Frias (Chubut).,-44.3300,-71.0600
Chile,Paso Internacional Pampa Alta (Chubut).,-45.1400,-71.2100
Chile,Paso Internacional Coyhaique (Chubut).,-45.3100,-71.3300
Chile,Paso Internacional El Triana (Chubut).,-45.3500,-71.4300
Chile,Paso Internacional Huemules (Chubut).,-45.5500,-71.3900
Chile,Paso Internacional Rio Don Guillermo-Santa Cruz,-51.1500,-72.1500
Chile,Paso Internacional Lago San Martin-Lago OHiggins (Santa Cruz).,-48.5200,-72.4000
Chile,Paso Internacional Rio Mosco-Santa Cruz,-48.2900,-72.3300
Chile,Paso Internacional Rio Mayer-Rivera Norte (Santa Cruz).,-48.1300,-72.1900
Chile,Paso Internacional Rodolfo Roballos-Santa Cruz,-47.1000,-71.5100
Chile,Paso Internacional Jeinimeni-Chile Chico (Santa Cruz).,-46.3400,-71.4000
Chile,Paso Internacional Ingeniero Pallavicini-Ibanez (Santa Cruz).,-46.1700,-71.4400
Chile,Paso Integracion Austral,-52.0800,-69.3100
Chile,Paso Internacional San Sebastian,-53.1911,-68.3624
Chile,Paso Internacional Alfa Cullen,-52.4449,-68.3624
Chile,Paso Internacional Rio Bella Vista,-54.0917,-68.3822
Paraguay,Paso Internacional Mision La Paz-Pozo Hondo,-22.2241,-62.3106
Paraguay,Paso Internacional La Madrid,-23.5322,-60.4308
Paraguay,Paso Internacional El Remanso-La Verde,-23.5712,-60.2922
Paraguay,Paso Internacional Isleta-Paraje Rojas Silva,-24.0046,-60.0215
Paraguay,Paso Internacional General Belgrano-General Bruguez,-24.4454,-58.4959
Paraguay,Paso Internacional Clorinda-Puerto Falcon,-25.1710,-57.4202
Paraguay,Paso Internacional Ituzaingo-Ayolas,-27.3017,-56.4424
Paraguay,Paso Internacional Posadas-Encarnacion,-27.2300,-55.5300
Paraguay,Balsa Bella Vista,-27.0600,-55.3100
Uruguay,Paso Internacional Concordia-Salto,-31.2000,-57.9100
Uruguay,Paso Internacional Colon-Paysandu,-32.1256,-58.0812
Uruguay,Paso Internacional Gualeguaychu-Fray Bentos,-33.0426,-58.2513
